INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2019-07-22T14:00:00-00:00,2019-07-22T15:00:00-00:00,7/22/2019,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.58139,4
2019-07-22T16:00:00-00:00,2019-07-22T17:00:00-00:00,7/22/2019,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.98725,4
2019-07-22T10:00:00-00:00,2019-07-22T11:00:00-00:00,7/22/2019,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,0.00504,4
2019-07-23T04:00:00-00:00,2019-07-23T05:00:00-00:00,7/22/2019,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.82534,4
2019-07-22T21:00:00-00:00,2019-07-22T22:00:00-00:00,7/22/2019,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-2.2144,4
2019-07-22T13:00:00-00:00,2019-07-22T14:00:00-00:00,7/22/2019,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.20033,4
2019-07-22T07:00:00-00:00,2019-07-22T08:00:00-00:00,7/22/2019,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,0.18374,4
2019-07-22T22:00:00-00:00,2019-07-22T23:00:00-00:00,7/22/2019,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-2.32173,4
2019-07-22T20:00:00-00:00,2019-07-22T21:00:00-00:00,7/22/2019,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-1.38044,4
2019-07-22T11:00:00-00:00,2019-07-22T12:00:00-00:00,7/22/2019,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,0.02121,4
2019-07-23T05:00:00-00:00,2019-07-23T06:00:00-00:00,7/22/2019,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.40495,4
2019-07-22T18:00:00-00:00,2019-07-22T19:00:00-00:00,7/22/2019,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.97319,4
2019-07-22T08:00:00-00:00,2019-07-22T09:00:00-00:00,7/22/2019,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,0.04677,4
2019-07-22T12:00:00-00:00,2019-07-22T13:00:00-00:00,7/22/2019,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.00903,4
2019-07-22T09:00:00-00:00,2019-07-22T10:00:00-00:00,7/22/2019,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.00515,4
2019-07-22T23:00:00-00:00,2019-07-23T00:00:00-00:00,7/22/2019,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-2.2621,4
2019-07-22T19:00:00-00:00,2019-07-22T20:00:00-00:00,7/22/2019,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-1.07147,4
2019-07-23T06:00:00-00:00,2019-07-23T07:00:00-00:00,7/22/2019,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.05498,4
2019-07-23T00:00:00-00:00,2019-07-23T01:00:00-00:00,7/22/2019,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-2.19757,4
2019-07-22T15:00:00-00:00,2019-07-22T16:00:00-00:00,7/22/2019,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.69053,4
2019-07-22T17:00:00-00:00,2019-07-22T18:00:00-00:00,7/22/2019,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.91383,4
2019-07-23T07:00:00-00:00,2019-07-23T08:00:00-00:00,7/23/2019,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,35.71436,5
2019-07-23T08:00:00-00:00,2019-07-23T09:00:00-00:00,7/23/2019,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,29.70951,5
2019-07-23T09:00:00-00:00,2019-07-23T10:00:00-00:00,7/23/2019,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,28.03991,5
2019-07-23T10:00:00-00:00,2019-07-23T11:00:00-00:00,7/23/2019,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,27.51336,5
2019-07-23T11:00:00-00:00,2019-07-23T12:00:00-00:00,7/23/2019,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,27.85684,5
2019-07-23T12:00:00-00:00,2019-07-23T13:00:00-00:00,7/23/2019,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.99047,5
2019-07-23T13:00:00-00:00,2019-07-23T14:00:00-00:00,7/23/2019,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,38.62414,5
2019-07-23T14:00:00-00:00,2019-07-23T15:00:00-00:00,7/23/2019,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.6421,5
2019-07-23T15:00:00-00:00,2019-07-23T16:00:00-00:00,7/23/2019,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,30.45982,5
2019-07-23T16:00:00-00:00,2019-07-23T17:00:00-00:00,7/23/2019,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.22491,5
2019-07-23T17:00:00-00:00,2019-07-23T18:00:00-00:00,7/23/2019,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,35.49325,5
2019-07-23T18:00:00-00:00,2019-07-23T19:00:00-00:00,7/23/2019,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,38.15685,5
2019-07-23T19:00:00-00:00,2019-07-23T20:00:00-00:00,7/23/2019,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,43.19484,5
